"","HD","Name","TIC","V","Teff","L","e.L.","rho","e.rho.","Dnu","eps","vsini","e.vsini.","F0"
"1","2280","","281499618","9.13","7510","5.52","0.26","0.49","0.06","7.17","1.73","26.4","1.3","19.5741"
"2","3622","","43363194","7.77","7930","7.86","0.35","0.45","0.06","6.89","1.61","50","6","17.9829"
"3","10779","","229139161","8.78","7730","8.13","0.36","0.39","0.05","6.8","1.63","91","5","17.884"
"4","10961","","231014033","9.39","7430","","","","","7.3","1.7","33","3","19.71"
"5","17341","","122615966","9.32","7810","10.05","0.5","0.32","0.05","5.9","1.73","14","1","16.107"
"6","17693","","122686610","7.8","7880","10.21","0.44","0.33","0.04","6.41","1.61","","","16.7301"
"7","20203","","274038922","8.85","7970","8.06","0.38","0.45","0.05","7.2","1.76","40","25","19.872"
"8","20232","","159895674","6.88","8060","8.64","0.36","0.44","0.05","6.86","1.64","37","3","18.1104"
"9","24572","","242944780","9.45","7410","7.25","0.36","0.35","0.05","7.2","1.58","","","18.576"
"10","24975","","44645679","7.24","7790","9.2","0.39","0.35","0.04","6.23","1.58","88","4","16.0734"
"11","25248","","459942890","8.6","","","","","","7.16","1.55","","","18.258"
"12","25369","","9147509","9.68","","","","","","6.15","1.65","","","16.2975"
"13","25674","","34197596","8.69","8260","10.2","0.5","0.42","0.05","6.75","1.79","160","35","18.8325"
"14","28548","","71134596","9.22","8510","10.82","0.55","0.45","0.06","7.56","1.67","200","50","20.1852"
"15","29783","","269792989","7.87","","","","","","6.74","1.79","","","18.8046"
"16","30422","EX Eri","589826","6.18","7940","8.42","0.35","0.42","0.05","6.52","1.86","128","","18.6472"
"17","31322","","246902545","9.28","8260","13.19","0.67","0.32","0.04","6.1","1.69","200","50","16.409"
"18","31640","","259675399","8.06","7690","8.25","0.35","0.37","0.05","6.41","1.75","136","4","17.6275"
"19","31901","","316920092","9.07","7770","7.74","0.39","0.41","0.05","6.97","1.56","33","4","17.8432"
"20","32433","","348792358","9.22","7700","7.32","0.35","0.42","0.05","6.95","1.54","","","17.653"
"21","34282","V1366 Ori","24344701","9.92","","","","","","7.4","1.71","129","11","20.054"
"22","37286","HR1915","31475829","6.26","8080","8.18","0.34","0.47","0.06","7.3","","70","",""
"23","38597","","100531058","8.65","8430","10.38","0.47","0.44","0.05","6.9","1.68","150","40","18.492"
"24","38629","","32763133","8.92","8170","11.27","0.53","0.35","0.04","7.35","1.77","160","40","20.3595"
"25","39060","betaPic","270577175","3.85","8080","8.49","0.39","0.45","0.05","6.95","","122","",""
"26","40317","","282265535","8.45","8700","10.58","0.55","0.51","0.06","6.95","1.63","","","18.2785"
"27","42005","","408906554","9.54","8030","8.75","0.42","0.42","0.05","7.16","1.57","130","30","18.4012"
"28","42608","","37498433","9.85","8170","10.05","0.49","0.4","0.05","7.1","1.57","41","1","18.247"
"29","42915","","124429243","9.04","8520","12.82","0.68","0.38","0.05","6.4","","118","5",""
"30","44726","","150272131","10.38","7890","7.87","0.38","0.44","0.05","7.25","1.7","130","40","19.575"
"31","44930","","34737955","9.42","7320","7.17","0.4","0.33","0.05","6.03","1.67","","","16.1001"
"32","44958","V435Car","255548143","6.74","7660","7.82","0.32","0.38","0.05","6.9","1.58","114","11","17.802"
"33","45424","","117766204","7.18","8060","10.39","0.44","0.36","0.04","6.54","1.86","","","18.7044"
"34","46722","","172193026","9.29","7810","8.28","0.4","0.4","0.05","6.45","1.71","","","17.4795"
"35","48985","","148228220","9.04","7710","11.6","0.54","0.25","0.03","7.25","1.56","40","4","18.56"
"36","50153","","78492107","7.03","7820","9.15","0.39","0.36","0.05","6.85","1.6","","","17.81"
"37","54711","","284348793","9.01","8200","9.22","0.45","0.44","0.06","7.08","1.65","50","2","18.762"
"38","55863","","294157254","9.06","7650","7.8","0.38","0.38","0.05","6.92","1.57","99","5","17.7844"
"39","59104","","278179191","8.5","7360","6.15","0.26","0.41","0.05","6.96","1.67","","","18.5832"
"40","59594","V349Pup","112484997","7.32","7800","8.06","0.34","0.4","0.05","6.65","1.61","","","17.3565"
"41","67688","","306773428","7.66","","","","","","7.04","1.59","","","18.2336"
"42","70510","","388351327","6.75","","","","","","7.16","1.68","94","10","19.1888"
"43","75040","","176400189","9.05","","","","","","6.64","1.58","24","3","17.1312"
"44","78198","","332516661","9.5","7340","7.79","0.42","0.31","0.04","5.9","1.65","45","1","15.635"
"45","89263","HR4043","463556278","6.22","","","","","","7.02","1.71","100","7","19.0242"
"46","99506","","287347434","8.36","7970","7.58","0.37","0.48","0.05","7.05","1.59","26","2","18.2595"
"47","220811","","327996759","6.91","","","","","","6.04","1.82","261","40","17.0328"
"48","222496","","316806320","9.48","","","","","","5.63","1.71","43","2","15.2573"
"49","223011","","224284988","6.32","7830","10.49","0.44","0.31","0.04","5.93","1.68","","","15.8924"
"50","290750","","11199304","9.77","9170","19.14","1.13","0.35","0.05","5.96","","","",""
"51","290799","V1790 Ori","11361473","10.67","8780","13.21","0.98","0.42","0.06","7.55","1.65","","","20.0075"
"52","","SAO 150524","143381070","9.46","8030","7.88","0.39","0.48","0.06","7.63","","","",""
"53","","SAO 249859","349645354","9.79","7070","7.99","0.38","0.23","0.04","5.34","1.69","","","14.3646"
"54","","TYC 85-867-1","431695696","9.63","7961","8.85","0.57","0.4","0.05","7.26","1.61","","","18.9486"
"55","","TYC 5945-497-1","124381332","9.69","8270","10.02","0.53","0.42","0.05","7.45","1.61","178","37","19.4445"
"56","","TYC 8533-329-1","260161111","10.7","8370","9.33","0.51","0.48","0.06","7.27","","100","30",""
"57","","TYC 8564-537-1","340358522","10.59","7490","7.3","0.36","0.37","0.05","7.15","1.54","","","18.161"
"58","187547","","KIC7548479","8.4","7470","6.74","0.29","0.4","0.05","7","1.61","10","2","18.27"
"59","","TYC 3132-1272-1","KIC8415752","10.67","7780","9.83","0.52","0.32","0.05","6.2","1.63","18","1","16.306"
"60","","","KIC9450940","12.68","7920","8.59","0.58","0.41","0.06","6.15","1.67","10","1","16.4205"
