HD,Name,TIC,V,Teff,L,e.L.,rho,e.rho.,Dnu,eps,vsini,e.vsini.,F0,logg,Teff_mast,e_logg,e_Teff_mast,stellar_radius,e_stellar_radius,L_mast,dnu_muhz,ID
2280.0,,281499618,9.13,7510.0,5.52,0.26,0.49,0.06,7.17,1.73,26.4,1.3,19.5741,4.39426,7575.0,0.0791689,138.757,1.39528,0.042407,5.77492428,82.9861111111111,TESS2018234235059-S0002-0000000281499618-0121-S_LC_DET
3622.0,,43363194,7.77,7930.0,7.86,0.35,0.45,0.06,6.89,1.61,50.0,6.0,17.9829,4.33815,7779.0,0.0809952,127.816,1.52225,0.0435527,7.6447196,79.74537037037037,TESS2018263035959-S0003-0000000043363194-0123-S_LC_DET
10779.0,,229139161,8.78,7730.0,8.13,0.36,0.39,0.05,6.8,1.63,91.0,5.0,17.884,4.31312,7862.0,0.0791271,143.816,1.57905,0.0442085,8.582641,78.7037037037037,TESS2018234235059-S0002-0000000229139161-0121-S_LC_DET
10961.0,,231014033,9.39,7430.0,,,,,7.3,1.7,33.0,3.0,19.71,4.30846,7600.0,0.0800168,137.43,1.54452,0.0529221,7.17024374,84.49074074074073,TESS2018263035959-S0003-0000000231014033-0123-S_LC_DET
17341.0,,122615966,9.32,7810.0,10.05,0.5,0.32,0.05,5.9,1.73,14.0,1.0,16.107,4.24043,7850.0,0.07829,131.083,1.71688,0.0463995,10.0844879,68.28703703703704,TESS2018263035959-S0003-0000000122615966-0123-S_LC_DET
17693.0,,122686610,7.8,7880.0,10.21,0.44,0.33,0.04,6.41,1.61,,,16.7301,4.24711,7940.0,0.0746534,132.04,1.72004,0.0470452,10.5938358,74.18981481481481,TESS2018263035959-S0003-0000000122686610-0123-S_LC_DET
20203.0,,274038922,8.85,7970.0,8.06,0.38,0.45,0.05,7.2,1.76,40.0,25.0,19.872,4.3986,8144.0,0.0737413,167.493,1.47477,0.0462965,8.61978149,83.33333333333333,TESS2018292075959-S0004-0000000274038922-0124-S_LC_DET
20232.0,,159895674,6.88,8060.0,8.64,0.36,0.44,0.05,6.86,1.64,37.0,3.0,18.1104,4.33075,7963.0,0.072418,128.366,1.56787,0.0432864,8.904756,79.39814814814815,TESS2018263035959-S0003-0000000159895674-0123-S_LC_DET
24572.0,,242944780,9.45,7410.0,7.25,0.36,0.35,0.05,7.2,1.58,,,18.576,4.32415,7928.0,0.0875459,473.676,1.57199,0.0529598,8.795318,83.33333333333333,TESS2018319095959-S0005-0000000242944780-0125-S_LC_DET
24975.0,,44645679,7.24,7790.0,9.2,0.39,0.35,0.04,6.23,1.58,88.0,4.0,16.0734,4.23611,7693.0,0.0771288,119.353,1.69752,0.0475402,9.093042,72.10648148148148,TESS2018319095959-S0005-0000000044645679-0125-S_LC_DET
25248.0,,459942890,8.6,,,,,,7.16,1.55,,,18.258,3.88595,7085.0,0.105456,381.266,2.36596,0.0899497,12.7077627,82.87037037037037,TESS2018319095959-S0005-0000000459942890-0125-S_LC_DET
25369.0,,9147509,9.68,,,,,,6.15,1.65,,,16.2975,4.2535,7886.0,0.0743759,165.597,1.69572,0.0493341,10.01,71.18055555555556,TESS2018319095959-S0005-0000000009147509-0125-S_LC_DET
25674.0,,34197596,8.69,8260.0,10.2,0.5,0.42,0.05,6.75,1.79,160.0,35.0,18.8325,4.41452,8618.0,0.0706718,129.268,1.50658,0.0433769,11.2798252,78.125,TESS2018319095959-S0005-0000000034197596-0125-S_LC_DET
28548.0,,71134596,9.22,8510.0,10.82,0.55,0.45,0.06,7.56,1.67,200.0,50.0,20.1852,4.40749,8453.0,0.0718957,133.345,1.50035,0.0454221,10.3543406,87.49999999999999,TESS2018319095959-S0005-0000000071134596-0125-S_LC_DET
29783.0,,269792989,7.87,,,,,,6.74,1.79,,,18.8046,4.28198,7888.0,0.076845,143.779,1.64542,0.0463995,9.443132,78.00925925925925,TESS2019169103026-S0013-0000000269792989-0146-S_LC_DET
30422.0,EX Eri,589826,6.18,7940.0,8.42,0.35,0.42,0.05,6.52,1.86,128.0,,18.6472,4.32735,7943.0,0.0739368,123.979,1.56992,0.0406834,8.838681,75.46296296296295,TESS2018319095959-S0005-0000000000589826-0125-S_LC_DET
31322.0,,246902545,9.28,8260.0,13.19,0.67,0.32,0.04,6.1,1.69,200.0,50.0,16.409000000000002,4.26684,8300.0,0.071429,137.387,1.74123,0.055691,12.9633856,70.60185185185185,TESS2018319095959-S0005-0000000246902545-0125-S_LC_DET
31640.0,,259675399,8.06,7690.0,8.25,0.35,0.37,0.05,6.41,1.75,136.0,4.0,17.6275,4.2681,7686.0,0.0788425,134.351,1.63162,0.0489874,8.370136,74.18981481481481,TESS2018319095959-S0005-0000000259675399-0125-S_LC_DET
