ID,Dnu_muHz,L,Teff,L.Ltot,parallax,mv
KIC3858884,29.0,21.520774117208067,6606.0,0.47,1.78,9.336
KIC4544587,74.0,6.475306094529597,7750.0,0.332,1.36,10.847000000000001
KIC10661783,39.0,29.304624905885404,7764.0,0.937,1.94,9.562999999999999
HD172189,19.0,29.942319043512317,7750.0,0.7020000000000001,2.27,8.885
CID100866999,56.0,3.865,7300.0,,0.5654,15.097000000000001
CID105906206,20.0,9.396578979383559,6750.0,0.94,0.9901,12.262
HD159561,38.0,24.642612134730655,8047.0,1.0,67.13,2.1262
KIC9851944,26.0,60.062350874539206,6902.0,0.5,0.41,11.477
KIC8262223,77.0,5.139948948967717,9128.0,0.9,0.9832,12.885
KIC10080943,52.0,7.0853010787549975,7480.0,0.5,1.06,11.735
HD15082,,6.14,,,,
HD15082,,6.14,,,,
HD15082,,6.14,,,,
HD15082,,6.14,,,,
HD15082,,6.14,,,,
HD15082,,6.14,,,,
